created_at,contact_id,entity_id,id,owner_id,entity_type,source,activity_type,summary,payload
2026-06-18 23:20:59.692863,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,e6cece68-f627-4a95-bed1-26288c0c491d,97e8281f-3d51-444a-9207-83d45e711520,f2743829-9058-4a1e-aaf0-1a536e6508b9,APPOINTMENT,FLOW,APPOINTMENT_SCHEDULED,Appointment scheduled: 'Appointment' at 2026-06-19T10:00,"{""dateTime"":""2026-06-19T10:00"",""title"":""Appointment"",""status"":""SCHEDULED""}"
2026-06-26 22:57:17.172879,5bb50890-af30-40e2-8517-a57d9705d83d,b842688f-37c4-45ba-982f-2bbbb27181f1,45fb55d8-98d4-4bdf-87cf-ae020c8bdb3a,f2743829-9058-4a1e-aaf0-1a536e6508b9,APPOINTMENT,FLOW,APPOINTMENT_SCHEDULED,Appointment scheduled: 'Web Appointment' at 2026-06-27T10:00,"{""dateTime"":""2026-06-27T10:00"",""title"":""Web Appointment"",""status"":""SCHEDULED""}"
2026-06-26 23:00:40.025986,5bb50890-af30-40e2-8517-a57d9705d83d,b842688f-37c4-45ba-982f-2bbbb27181f1,f59ef724-e679-415e-87e6-66291a5aee32,f2743829-9058-4a1e-aaf0-1a536e6508b9,APPOINTMENT,MANUAL,APPOINTMENT_SCHEDULED,Appointment scheduled: 'Web Appointment' at 2026-06-27T10:00,"{""dateTime"":""2026-06-27T10:00"",""title"":""Web Appointment"",""status"":""COMPLETED""}"
2026-06-26 23:00:42.082348,5bb50890-af30-40e2-8517-a57d9705d83d,b842688f-37c4-45ba-982f-2bbbb27181f1,ce15799f-5248-4896-9e70-adbbf0ea41e6,f2743829-9058-4a1e-aaf0-1a536e6508b9,APPOINTMENT,MANUAL,APPOINTMENT_SCHEDULED,Appointment scheduled: 'Web Appointment' at 2026-06-27T10:00,"{""dateTime"":""2026-06-27T10:00"",""title"":""Web Appointment"",""status"":""COMPLETED""}"
2026-06-27 01:43:13.107063,705ebb7f-2697-4d69-9872-c863f714d164,82f001bf-678f-45b5-b9a4-ffecdeb23c69,93d4738d-549d-43a9-b365-e953d0443dfa,f2743829-9058-4a1e-aaf0-1a536e6508b9,BOOKING,MANUAL,BOOKING_CONFIRMED,Booking confirmed for 'opt_1' (slot: TBD),"{""service"":""opt_1"",""slot"":""TBD"",""status"":""NO_SHOW""}"
2026-06-27 15:33:32.187764,a91cf57d-7dcf-4920-91b3-5185b71f6622,534e761e-7446-49d1-9816-4037fe9aac35,f2779b15-5dae-4415-9f7a-8e451e253811,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,WEB_WIDGET,LEAD_CREATED,Lead created via WEB_WIDGET (status: NEW),"{""source"":""WEB_WIDGET"",""status"":""NEW""}"
2026-06-27 15:42:13.458849,a91cf57d-7dcf-4920-91b3-5185b71f6622,80d0fa93-b99a-42b3-9b7d-a2b161dbe790,aec523bf-7996-47dd-84e5-ee78448157f0,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,WEB_WIDGET,LEAD_CREATED,Lead created via WEB_WIDGET (status: NEW),"{""source"":""WEB_WIDGET"",""status"":""NEW""}"
2026-06-27 16:48:36.899925,5bb50890-af30-40e2-8517-a57d9705d83d,c751d627-aedd-4f27-9ede-1154237d25fb,4e1a8676-3602-432f-b200-7616e7d927e5,f2743829-9058-4a1e-aaf0-1a536e6508b9,APPOINTMENT,FLOW,APPOINTMENT_SCHEDULED,Appointment scheduled: 'Web Appointment' at 2026-06-28T10:00,"{""status"":""SCHEDULED"",""title"":""Web Appointment"",""dateTime"":""2026-06-28T10:00""}"
2026-06-27 17:10:28.958003,d1c3a300-9eb5-4241-9326-c79bf151808b,d830fc8d-5f59-45cc-b6cf-16956519f2a6,82e4b9a9-c1ea-4ba6-bf76-258e9cd188fb,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,WEB_WIDGET,LEAD_CREATED,Lead created via WEB_WIDGET (status: NEW),"{""status"":""NEW"",""source"":""WEB_WIDGET""}"
2026-06-27 17:18:52.434092,241402a5-2c82-4055-b0fe-fd2ba6438d9f,75a5a692-0543-4d4d-bf84-626a84624158,fba2702a-0c13-416e-adc6-f34111efd361,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,WEB_WIDGET,LEAD_CREATED,Lead created via WEB_WIDGET (status: NEW),"{""status"":""NEW"",""source"":""WEB_WIDGET""}"
2026-06-27 17:25:59.817645,6b472d9e-0cde-4e73-998f-5f5782e3352c,44166c67-6218-4757-9802-c01967e75a25,b65ebf6d-a7ae-4132-b1ab-1727183685e9,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,WEB_WIDGET,LEAD_CREATED,Lead created via WEB_WIDGET (status: NEW),"{""status"":""NEW"",""source"":""WEB_WIDGET""}"
2026-06-27 17:44:00.112384,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,27787115-2779-4fb3-b2e1-dc50799db985,59c07f04-e999-4ec9-9355-ac9abc3f0ea8,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-27 17:47:10.339324,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,ab4b18e2-fe97-4e17-a8cd-5456914db4c8,b35d9856-8288-4386-a343-6dec121f51de,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-27 17:53:46.62622,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,f2c7c6f8-d6c3-419f-aea7-3d97f0c1503e,a7a544b4-2246-41af-96de-46031f943ae8,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-27 17:59:14.275954,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,c404fce9-9925-4d55-a4a4-239ac60b44cc,81a31e25-f6f6-4686-808a-2e8d89d2845f,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""status"":""INTERESTED"",""source"":""FLOW""}"
2026-06-27 18:15:54.864735,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,a5e547ff-faf0-4316-88dd-0cda19a12c32,38e16c48-201d-417a-97eb-7beab5980a04,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-27 18:28:14.673118,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,7e28d2d2-756a-48b4-8214-365d7d74e83d,62ea4339-6e2b-4f7d-a762-9ed38b4126ee,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-27 22:08:47.352261,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,9b1addbb-80b7-44e7-adc7-2e133dc7313e,fa42ed65-1a26-49ac-b591-4a399f1e007c,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
2026-06-27 22:20:31.638219,6c77c2c8-de8c-477c-b5e3-cdab13a925c6,e6fb91d8-c0e0-4d6e-bdc7-580b8e23c310,5456d073-38fe-478f-9943-9203259baf22,f2743829-9058-4a1e-aaf0-1a536e6508b9,LEAD,FLOW,LEAD_CREATED,Lead created via FLOW (status: INTERESTED),"{""source"":""FLOW"",""status"":""INTERESTED""}"
